优先级,企业名称,省市,城市,网址,行业细分,主营业务,适配案例,预估企业侧分(满分35),匹配点（成功面）,风险点（失败面·待核实）,建议切入点,接触路径,信息可靠度
S,山东省博兴县聚鑫源精密薄板有限公司,山东,滨州博兴,jxyjmbb.com,卷材加工,镀锌板/镀铝锌板/彩涂钢板/印花彩涂,案例A,29,出口占比60%+，彩涂出口全国第一→海外客户要求批次追溯与验厂；多品牌多规格，等级管理刚需,出口导向，内控投入意愿待确认；集团多主体，权限隔离会先被提出；现有系统边界需摸清,客户验厂/出口批次追溯：一卷料的完整档案,官网+博兴涂镀产业集群,高
S,广州市仪美医用家具科技股份有限公司,广东,广州,需检索（新三板839643，公开转让说明书有披露）,医疗家具,医用家具研发生产+工程安装，医疗空间整体解决方案,案例B,29,新三板挂牌→治理与数据规范压力；工程安装+招投标→交期/齐套/变更留痕刚性；600+工程案例=强非标,决策链可能较长，需确认谁拍板；行业毛利被招标压缩，预算敏感；现有ERP接口需确认,一个医院项目的从下单到安装齐套全流程台账,招标公告+CHCC医院建设大会,高
S,上海雅轩办公家具有限公司,上海,上海嘉定,需检索,系统家具,医疗/教育/办公家具、空间智能化整体方案,案例B,28,160人/3亿产值正中甜点；双基地+六品牌→组织隔离与权限需求；三条业务线毛利口径差异大,多基地企业怕影响交付，必须用只读驾驶舱打开；六品牌可能有多套小系统；上海招人成本高，对接人易换,老板手机上的三个数字：在手订单/业务线毛利/异常待办,行业展会+上海家具协会,中
S,阜城县华营集成房屋有限公司,河北,衡水阜城,需检索（河北日报报道）,集成房屋,拓展式集装箱别墅，产品全部出口欧美,案例B,27,全出口→客户验厂与标准要求是准入门槛；折叠结构强齐套，缺件导致到岸无法安装；阜城48家上下游→复制价值最高,公开报道口径不一（营收量级偏低），规模与现金实力需核实；外贸团队驱动，老板更关注获客,一个集装箱模块的出厂齐套清单+到岸不返工,产业集群走访+外贸展会,高
A,山东力强钢板有限公司,山东,滨州博兴,liqiangsteel.com,卷材加工,彩涂板/镀锌板/冷轧板；镀锌6线150万吨、彩涂3线60万吨,案例A,26,多子公司→天然权限与多组织需求；全国市占约7.8%，成材率/呆滞改善直接等于利润,500人+大体量，可能已有较完整系统或专职IT；子公司多决策链分散,卷料呆滞分档（30/90/180天）+等级匹配发货,官网+产业带,高
A,广东华燊实业有限公司（VOU+卫域）,广东,东莞,gdhs2007.cn,医疗家具,医院/适老/医养家具；政采投标+为中标方配套生产,案例B,26,政府采购投标→资质/台账/交期全刚性；配套生产订单波动大且客户交期刚性；政采要求记录完整,以配套生产为主，议价能力弱毛利薄；是否已有MES/进销存需核实,投标用一键台账导出+工程齐套校验,政采中标公告+CHCC,中
A,山东好运来集成房屋有限公司,山东,山东（需核实）,需检索（B2B平台为主）,集成房屋,太空舱/景区集成房屋/应急与文旅配套,案例B,26,200人/8000万正中甜点；文旅基建项目交期刚性验收严格；项目制非标+现场安装,注册资本仅300万，抗风险与付款能力需核实；信息来源为推广页,一个景区项目的工厂预制+现场安装齐套清单,文旅装备展+产业集群,中
A,山东省博兴县金盛泰板业有限公司,山东,滨州博兴,cnjststeel.cn,卷材加工,镀锌板/彩涂板/镀铝锌硅板，4条生产线,案例A,25,员工规模正中甜点（无独立IT）；4条线多规格，卷料管理复杂度刚好；已有出口加分,集群内同质化竞争激烈，对软件价格敏感；现有系统需确认,成材率与盘亏口径：每卷少浪费1~2米×年用卷数,官网+产业带,高
A,浙江德艺门业有限公司,浙江,金华永康,需检索,门业,防火门（钢质甲乙丙级/铸铝/铜门）、入户防盗门、装甲门,案例B,25,防火门=强资质强追溯，与等级匹配同构；承接政府工程→台账与验收记录刚需,永康门业产能过剩价格战，现金流需核实；老板更关心接单而非管理,一樘门完整档案（钢板批号→消防验收）+投标台账导出,永康门业集群+工程招标,中
A,广州市万开家具制造有限公司,广东,广州,需检索,医疗家具,医疗家具/诊断桌/护士站/试验台/器械柜,案例B,25,招投标为主+多品类小批量+工程安装齐套，与案例B高度同构；案例500+→链条长易出齐套问题,与仪美同城同赛道，若一家已选型另一家紧迫感上升；规模与营收需核实,订单—图纸—生产—安装的齐套与变更留痕,招标公告+医院建设大会,中
A,上海华岳智造（原上海永采有机玻璃）,上海,上海奉贤,需检索,展示道具,展柜道具/橱窗/快闪店/商场DP美陈,案例B,25,百余人+25000㎡自有厂=甜点；连锁品牌客户→门店复制需标准化与溯源；快闪交期以天计,项目制企业重创意轻管理（B2可能低）；多材质工艺现状表单可能极乱,一个连锁客户全国门店的道具齐套+到店时间看板,上海奉贤产业带+商业空间展,中
A,佛山市威尔普斯门窗有限公司,广东,佛山南海,需检索,门窗,断桥铝合金门窗（含卫生间门等非标规格）,案例B,24,已有数字化投入→预算习惯与认知已建立；扩产搬迁说明在上升期；非标规格多,可能已被现有供应商锁定；不要否定他现有选择，只能补位,现有系统管不到的那一段（车间报工/齐套/成本归集）,佛山门窗产业带+协会,中
A,成都汇鸿科技集团有限公司,四川,成都,需检索,家具制造,教学/医养/办公家具，品种1000+,案例B,24,品种1000+且以招投标为主→典型多品种小批量+强齐套；学校医院交期刚性,西部信息化人才稀缺，上线后无人维护风险高→方案需写明驻场与指定对接人,招标项目的齐套与交期看板,招标公告+西部家具展,中
A,佛山市南海新达高梵实业有限公司,广东,佛山南海,需检索,家具制造,办公/教学/医疗家具，出口100+国,案例B,24,出口100+国→外部压力强；多品类多制造中心→权限隔离与成本归集明确,约1000人接近规模上限，大概率已有IT部门→定位应为补位/分包,出口订单的批次追溯与多制造中心成本归集,佛山产业带+广交会,中
A,上海邑通道具股份有限公司,上海,上海,需检索,展示道具,连锁品牌门店道具全案（设计+制造+安装）,案例B,24,百店级复制=标准化+追溯+齐套，行业中最刚性；交付体系成熟只缺工具,股份公司决策链较长；若挂牌上市则采购流程更正式但周期更长,门店道具的标准化编号与齐套交付,连锁品牌供应链渠道+展会,中
B,山东省博兴县金泰利彩钢板有限公司,山东,滨州博兴,需检索（B2B平台）,卷材加工,彩涂钢卷/镀锌钢板，3条线,案例A,23,博兴第一条彩涂线，老厂有出口；30万吨产能,公开数据陈旧（2013年口径），现状需核实,卷料等级与批次管理,产业带,中
B,浙江金凯德安防科技有限公司,浙江,永康,需检索,门业,通轴入户门/铸铝门/防盗门/防火门；50余亩基地,案例B,23,中型规模、数控与无尘喷涂产线；工程订单为主,老板是否亲自经营需核实；永康价格战,一樘门的生产进度与齐套,永康门业集群,中
B,山东辰贝驰新材料有限公司,山东,淄博临淄,需检索,卷材加工,热镀锌板/彩涂板/净化板；6条线，年产100万吨,案例A,23,中型、品类多、有出口条件,信息来源为推广页，需核实,彩涂线成材率与呆滞预警,产业带,低
B,浙江群邦门业股份有限公司,浙江,金华,需核实,门业,防火门/防盗门；产能1200樘/日,案例B,22,防火门为主、工程渠道,信息来源为评选软文；产能与现金流需核实,防火门资质与批次追溯台账,永康门业集群,低
B,天津市新宇彩板有限公司,天津,天津,需检索,卷材加工,彩涂板/镀铝锌/镀锌/冷轧；产能数百万吨,案例A,22,高新技术企业、专利多、出口海内外,体量可能偏大（营收或超百亿），优先级应下调,卷料追溯与出海认证资料,行业协会,中
B,浙江华达新型材料股份有限公司（605158）,浙江,杭州富阳,上市公司公告披露,卷材加工,彩涂板/热镀锌铝板，出口40+国,案例A,22,上市公司、出口占比高、数据规范意识强,规模超出甜点区，宜作第二阶段目标,出口批次档案与合规资料,上市公司信息渠道,高
B,上海永成展示股份有限公司,上海,上海,需检索,展示道具,高端展柜/博物馆陈列道具,案例B,22,25年资质、项目制非标、精度要求高,规模需核实；项目制特征同上,项目级齐套与进度可见,商业空间展+设计渠道,中
